Nummero Accident;Categorie de route;Nom de la route
202200000001;Voie Communales;TEIL(vieille route du)
202200000002;Voie Communales;
202200000003; Route Départementale;ROND POINT DE BREZILLET
202200000004;Voie Communales;QUATORZE JUILLET (RUE DU)
202200000005; Route Départementale;ROUTE DE JEAN MOULIN-RN 538
202200000006; Route Départementale;TURCAN FRANCIS
202200000007;Voie Communales;CARNOT  RUE
202200000008;Voie Communales;JAURES JEAN (AVENUE)
202200000009;Voie Communales;LOMBARDS (AVENUE)
202200000010;Voie Communales;PREMIER MAI (RUE DU)
202200000011; Route Départementale;ESPAGNE (ROUTE D')
202200000012;Voie Communales;CASSIN (BD RENE)
202200000013; Route Départementale;GRIVATS (ROUTE DES)
202200000014;Voie Communales;GRANDE RUE
202200000015;Voie Communales;PLACE SKANDERBEG
202200000016;Voie Communales;RUE DE VAUGIRARD
202200000017;Voie Communales;BOULEVARD SAINT GERMAIN
202200000018;Voie Communales;RUE DE MENILMONTANT
202200000019;Voie Communales;AVENUE DU PRESIDENT KENNEDY
202200000020;Voie Communales;BOULEVARD LANNES
202200000021;Voie Communales;PLACE DE LA PORTE MAILLOT
202200000022;Voie Communales;RUE DE LA CROIX NIVERT
202200000023;Voie Communales;RUE EMILE RICHARD
202200000024;Voie Communales;AVENUE D IVRY
202200000025;Voie Communales;BOULEVARD KELLERMANN
202200000026;Voie Communales;AVENUE DE LA PORTE DE BAGNOLET
202200000027;Voie Communales;RUE DE TURENNE
202200000028;Voie Communales;RUE THERESE
202200000029;Voie Communales;EDOUARD TIL (R)
202200000030;Autoroute;BRETELLE A86
202200000031; Route Départementale;FONTENAY (R DE)
202200000032;Voie Communales;CARNOT (AV)
202200000033; Route Départementale;LEDRU ROLLIN (AV)
202200000034; Route Départementale;GENERAL GALLIENI (AV DU)
202200000035; Route Départementale;GENERAL DE GAULLE (AV DU)
202200000036; Route Départementale;ALI DJERMOUNI (RD PT)
202200000037;Voie Communales;JULES VALLES (R)
202200000038; Route Départementale;MAURICE BERTEAUX (AV)
202200000039;Route nationale;MARECHAL DE LATTRE DE TASSIGNY (AV)
202200000040; Route Départementale;VAUBAN (AVENUE)
202200000041; Route Départementale;ANDRE CITROEN (BOULEVARD)
202200000042;Voie Communales;LEFEVRE (BOULEVARD)
202200000043;Hors réseau public;CITE MARCEL PAUL
202200000044;Voie Communales;ALSACE-LORRAINE (BOULEVARD)
202200000045; Route Départementale;JEAN JAURES (AVENUE) (76/128)
202200000046;Voie Communales;JEAN JAURES (AVENUE)
202200000047;Voie Communales;CARNOT (AVENUE) DU 1-2 AU 43-46
202200000048; Route Départementale;PIERRE DE MONTREUIL S5 (RUE)
202200000049;Voie Communales;LEON BLUM (AVENUE)
202200000050; Route Départementale;MITRY [CD115] (ROUTE DE)
202200000051;Voie Communales;
202200000052; Route Départementale;910
202200000053;Voie Communales;
202200000054; Route Départementale;JARDY
202200000055;Voie Communales;
202200000056;Route nationale;13
202200000057; Route Départementale;906
202200000058;Voie Communales;
202200000059;Voie Communales;
202200000060;Voie Communales;
202200000061; Route Départementale;75
202200000062;Voie Communales;
202200000063; Route Départementale;128
202200000064; Route Départementale;67A
202200000065;Autoroute;28
202200000066;Voie Communales;
202200000067;Route nationale;2
202200000068; Route Départementale;2019
202200000069;Route nationale;176
202200000070;Autoroute;28
202200000071; Route Départementale;113
202200000072; Route Départementale;944
202200000073;Route nationale;4
202200000074;Route nationale;44
202200000075; Route Départementale;80
202200000076; Route Départementale;817
202200000077; Route Départementale;RD
202200000078; Route Départementale;40
202200000079; Route Départementale;83
202200000080; Route Départementale;26
202200000081; Route Départementale;14
202200000082; Route Départementale;965
202200000083; Route Départementale;
202200000084; Route Départementale;212
202200000085; Route Départementale;8
202200000086;Voie Communales;
202200000087; Route Départementale;67
202200000088;Voie Communales;
202200000089; Route Départementale;173
202200000090; Route Départementale;93
202200000091; Route Départementale;287
202200000092; Route Départementale;919
202200000093; Route Départementale;603
202200000094; Route Départementale;7
202200000095; Route Départementale;1508
202200000096; Route Départementale;739
